wave,spec,std
1162,0.148209996,0.039155348
1163,0.14826392,0.03916595
1164,0.148291776,0.039171877
1165,0.148354536,0.039174946
1166,0.148427386,0.039172862
1167,0.148491494,0.039169829
1168,0.148584925,0.039186532
1169,0.148671406,0.039204883
1170,0.148740667,0.039214034
1171,0.148812141,0.039225468
1172,0.148863674,0.03923808
1173,0.148914962,0.039245517
1174,0.148980475,0.039253504
1175,0.149043581,0.03926714
1176,0.149121014,0.039276222
1177,0.149204355,0.039278607
1178,0.149280536,0.039283415
1179,0.149358547,0.039294643
1180,0.149421353,0.03931621
1181,0.149469201,0.03933537
1182,0.149535914,0.039353164
1183,0.149599604,0.039374097
1184,0.149660615,0.039387271
1185,0.149720612,0.039399233
1186,0.149782722,0.039413373
1187,0.149862747,0.039426066
1188,0.149934474,0.03944287
1189,0.149979111,0.03946304
1190,0.150034423,0.039481313
1191,0.150099214,0.039492741
1192,0.150157461,0.039506152
1193,0.150239506,0.039531979
1194,0.150317039,0.03955237
1195,0.150397591,0.039559927
1196,0.150477756,0.039568149
1197,0.150529329,0.039579242
1198,0.150583358,0.039590727
1199,0.150650076,0.039590592
1200,0.150714038,0.039587056
1201,0.150797355,0.039588053
1202,0.150886132,0.039591826
1203,0.150941524,0.039598174
1204,0.15099517,0.039605036
1205,0.151059994,0.039613963
1206,0.151123643,0.039625541
1207,0.151199992,0.039653071
1208,0.151269837,0.039685961
1209,0.151346256,0.039700107
1210,0.151438101,0.039704006
1211,0.151525208,0.039706847
1212,0.151614065,0.039703249
1213,0.151696986,0.03971222
1214,0.151764929,0.039736228
1215,0.151837087,0.03975463
1216,0.151908287,0.039770701
1217,0.151976681,0.039787501
1218,0.152070052,0.039803627
1219,0.152158941,0.039819228
1220,0.152233085,0.039830843
1221,0.15230774,0.039842193
1222,0.152367164,0.039854588
1223,0.152426285,0.039866344
1224,0.152497685,0.039876651
1225,0.152567596,0.039887052
1226,0.152646744,0.039895588
1227,0.152728153,0.039903697
1228,0.152801467,0.039912977
1229,0.152876112,0.039921328
1230,0.152936221,0.03993416
1231,0.152988007,0.039947304
1232,0.15305506,0.039954077
1233,0.153124139,0.039960221
1234,0.153198826,0.039965975
1235,0.153280864,0.039972088
1236,0.15335989,0.039985414
1237,0.153440507,0.04000306
1238,0.153510817,0.040012422
1239,0.153569208,0.040011517
1240,0.153633634,0.04001422
1241,0.153697581,0.040023046
1242,0.153766165,0.040031326
1243,0.15385449,0.040039987
1244,0.153934081,0.040048482
1245,0.153995799,0.040051767
1246,0.154059598,0.040055318
1247,0.15411825,0.04006509
1248,0.154179095,0.040074573
1249,0.154243838,0.040084003
1250,0.154307809,0.040094587
1251,0.154388996,0.040112049
1252,0.15447311,0.040129315
1253,0.154537093,0.040145785
1254,0.154601293,0.040163261
1255,0.154671413,0.040169106
1256,0.154741323,0.040174504
1257,0.154815303,0.040182286
1258,0.154887424,0.040188863
1259,0.154969797,0.040193213
1260,0.15506214,0.040196408
1261,0.15512885,0.040210468
1262,0.155183193,0.04023133
1263,0.155242798,0.040247056
1264,0.15530139,0.040260884
1265,0.155362467,0.040273614
1266,0.155419617,0.040282262
1267,0.155482176,0.040293142
1268,0.155564536,0.040306543
1269,0.155640784,0.040318464
1270,0.15570824,0.040328296
1271,0.155778578,0.040339115
1272,0.155844528,0.040356385
1273,0.155910549,0.04037292
1274,0.155978427,0.040383635
1275,0.156044058,0.040393648
1276,0.156119701,0.040391372
1277,0.156191229,0.040389542
1278,0.156251013,0.040394734
1279,0.15631011,0.040400673
1280,0.15636263,0.040421369
1281,0.156413336,0.040443022
1282,0.156485695,0.040446305
1283,0.156558443,0.040449605
1284,0.156633517,0.040457954
1285,0.15670909,0.040466152
1286,0.156768822,0.040477501
1287,0.156825685,0.040488769
1288,0.156880892,0.040497461
1289,0.156933093,0.040505473
1290,0.15700156,0.0405183
1291,0.157075902,0.040534029
1292,0.157144434,0.040546865
1293,0.157213386,0.04055796
1294,0.157271839,0.040570748
1295,0.157322742,0.04058551
1296,0.157378655,0.040595989
1297,0.157436594,0.040597483
1298,0.157497961,0.040600042
1299,0.157559394,0.040609807
1300,0.157621857,0.040619399
1301,0.157693802,0.040625092
1302,0.157764475,0.040629912
1303,0.157829903,0.040635071
1304,0.157892502,0.040644229
1305,0.15793242,0.040666512
1306,0.157976437,0.040688699
1307,0.158031842,0.040706581
1308,0.158087724,0.04072466
1309,0.158154152,0.040735125
1310,0.158222702,0.040745663
1311,0.158266824,0.040749767
1312,0.158310488,0.040753959
1313,0.158370935,0.040760089
1314,0.158434718,0.040767367
1315,0.158485515,0.04078314
1316,0.158531425,0.040799863
1317,0.158602145,0.04081839
1318,0.158684062,0.040837757
1319,0.158739981,0.040857801
1320,0.158790229,0.040878979
1321,0.158847712,0.040887439
1322,0.158906249,0.040890419
1323,0.158963487,0.040902272
